year,fips,state_name,race,num_stu_total,num_stu_9_10,num_stu_11,num_stu_12,num_stu_pub_total,num_stu_pub_9_10,num_stu_pub_11,num_stu_pub_12,num_grad_ap,num_grad_pass_ap,ap_mandate,ap_funding
2003,2,Alaska,Black,43,0,25,17,43,0,25,17,,,0,0
2003,2,Alaska,Hispanic,27,4,13,9,25,4,12,8,,,0,0
2003,2,Alaska,Total,1860,112,804,889,1779,112,761,855,1191,803,0,0
2003,2,Alaska,White,1429,84,605,702,1363,84,573,672,,,0,0
2004,2,Alaska,Asian,150,5,77,66,144,5,76,61,,,0,0
2004,2,Alaska,Black,26,1,11,13,25,1,11,12,,,0,0
2004,2,Alaska,Hispanic,29,0,13,14,27,0,12,13,,,0,0
2004,2,Alaska,Total,1869,86,887,827,1764,73,840,788,1183,781,0,0
2004,2,Alaska,White,1468,72,703,651,1389,59,665,626,,,0,0
2005,2,Alaska,Asian,196,12,78,99,192,12,77,96,,,0,0
2005,2,Alaska,Black,30,1,19,9,30,1,19,9,,,0,0
2005,2,Alaska,Hispanic,34,0,19,13,32,0,17,13,,,0,0
2005,2,Alaska,Total,2208,117,1009,1018,2112,114,967,969,1375,857,0,0
2005,2,Alaska,White,1716,89,801,785,1643,86,769,749,,,0,0
2006,2,Alaska,Asian,227,11,109,106,224,11,107,106,,,0,0
2006,2,Alaska,Black,56,2,30,24,56,2,30,24,,,0,0
2006,2,Alaska,Hispanic,97,1,48,44,90,1,44,41,,,0,0
2006,2,Alaska,Total,2402,128,1102,1080,2304,125,1043,1048,1471,941,0,0
2006,2,Alaska,White,1785,99,814,811,1707,96,766,787,,,0,0
2007,2,Alaska,Asian,235,21,113,95,232,21,113,92,,,0,0
2007,2,Alaska,Black,50,1,27,21,47,1,25,20,,,0,0
2007,2,Alaska,Hispanic,76,8,35,29,70,8,32,26,,,0,0
2007,2,Alaska,Total,2466,182,1149,1065,2376,180,1113,1019,1497,957,0,0
2007,2,Alaska,White,1820,124,838,816,1772,122,831,783,,,0,0
2008,2,Alaska,Asian,251,32,96,118,248,32,94,117,,,0,0
2008,2,Alaska,Black,54,3,28,22,54,3,28,22,,,0,0
2008,2,Alaska,Hispanic,93,3,46,39,91,3,46,38,,,0,0
2008,2,Alaska,Total,2476,193,1043,1165,2397,192,1003,1130,1621,1063,0,0
2008,2,Alaska,White,1781,136,756,847,1722,135,728,818,,,0,0
2009,2,Alaska,Asian,276,23,129,116,270,23,126,113,,,0,0
2009,2,Alaska,Black,53,3,20,28,53,3,20,28,,,0,0
2009,2,Alaska,Hispanic,93,8,42,39,89,8,40,37,,,0,0
2009,2,Alaska,Total,2587,196,1189,1124,2511,194,1149,1092,1556,982,0,0
2009,2,Alaska,White,1873,142,884,799,1822,142,854,779,,,0,0
2010,2,Alaska,Asian,303,35,123,137,298,34,119,137,,,0,0
2010,2,Alaska,Black,56,5,24,24,55,5,24,23,,,0,0
2010,2,Alaska,Hispanic,95,5,45,39,95,5,45,39,,,0,0
2010,2,Alaska,Total,2668,234,1100,1247,2586,232,1065,1207,1683,1080,0,0
2010,2,Alaska,White,1897,168,778,905,1833,167,749,874,,,0,0
2011,2,Alaska,Asian,291,36,112,132,282,35,111,125,,,0,0
2011,2,Alaska,Black,63,4,23,36,61,4,22,35,,,0,0
2011,2,Alaska,Hispanic,113,9,52,45,111,9,52,43,,,0,0
2011,2,Alaska,Total,2638,240,1137,1184,2556,233,1113,1134,1599,1006,0,0
2011,2,Alaska,White,1864,159,824,829,1803,153,804,795,,,0,0
2012,2,Alaska,Asian,298,26,136,132,292,26,133,129,,,0,0
2012,2,Alaska,Black,49,3,26,16,48,3,25,16,,,0,0
2012,2,Alaska,Hispanic,107,7,49,45,105,7,48,44,,,0,0
2012,2,Alaska,Total,2682,211,1210,1192,2606,206,1165,1168,1621,1062,0,0
2012,2,Alaska,White,1870,148,835,844,1812,144,801,825,,,0,0
2013,2,Alaska,Asian,346,40,149,150,342,40,149,146,,,0,0
2013,2,Alaska,Black,57,6,21,29,57,6,21,29,,,0,0
2013,2,Alaska,Hispanic,144,10,65,66,141,9,64,65,,,0,0
2013,2,Alaska,Total,2785,284,1245,1213,2698,276,1208,1173,1645,1063,0,0
2013,2,Alaska,White,1932,195,881,835,1863,190,848,804,,,0,0
2014,2,Alaska,Asian,394,31,194,158,385,31,190,154,,,0,0
2014,2,Alaska,Black,69,5,40,21,69,5,40,21,,,0,0
2014,2,Alaska,Hispanic,143,17,62,59,139,17,59,58,,,0,0
